diagnosis_cd,diagnosis
3,SALMONELLA ENTERITIS
5,STAPH FOOD POISONING
7,BALANTIDIASIS
8,INTEST INFEC E COLI NOS
9,INFECTIOUS ENTERITIS NOS
10,PRIM TB COMPLEX-UNSPEC
11,TB LUNG INFILTR-UNSPEC
14,TB PERITONITIS-UNSPEC
17,TB SKIN/SUBCUTAN-UNSPEC
23,BRUCELLA MELITENSIS
27,LISTERIOSIS
31,PULMONARY MYCOBACTERIA
34,STREP SORE THROAT
35,ERYSIPELAS
36,MENINGOCOCCAL MENINGITIS
38,STREPTOCOCCAL SEPTICEMIA
39,CUTANEOUS ACTINOMYCOSIS
40,GAS GANGRENE
41,STREPTOCOCCUS UNSPECF
42,HUMAN IMMUNO VIRUS DIS
46,KURU
47,COXSACKIE VIRUS MENING
48,OTH ENTEROVIRAL CNS DIS
49,LYMPHOCYTIC CHORIOMENING
52,POSTVARICELLA ENCEPHALIT
53,HERPES ZOSTER MENINGITIS
54,ECZEMA HERPETICUM
57,ERYTHEMA INFECTIOSUM
58,ROSEOLA INFANTUM NOS
61,DENGUE
66,PHLEBOTOMUS FEVER
70,HEPATITIS A WITH COMA
75,INFECTIOUS MONONUCLEOSIS
78,MOLLUSCUM CONTAGIOSUM
79,ADENOVIRUS INFECT NOS
82,SPOTTED FEVERS
84,FALCIPARUM MALARIA
88,BARTONELLOSIS
94,TABES DORSALIS
96,LATE SYPHILIS LATENT
97,LATE SYPHILIS NOS
98,ACUTE GC INFECT LOWER GU
99,CHANCROID
110,DERMATOPHYT SCALP/BEARD
111,PITYRIASIS VERSICOLOR
112,THRUSH
114,PRIMARY COCCIDIOIDOMYCOS
115,HISTOPLASMA CAPSULAT NOS
117,RHINOSPORIDIOSIS
122,ECHINOCOCC GRANUL LIVER
123,TAENIA SOLIUM INTESTINE
130,TOXOPLASM MENINGOENCEPH
131,UROGENITAL TRICHOMON NOS
132,PEDICULUS CAPITIS
133,SCABIES
135,SARCOIDOSIS
136,AINHUM
137,"LATE EFFECT TB, RESP/NOS"
138,LATE EFFECT ACUTE POLIO
139,LATE EFF VIRAL ENCEPHAL
140,MAL NEO UPPER VERMILION
141,MAL NEO TONGUE BASE
142,MALIG NEO PAROTID
143,MALIG NEO UPPER GUM
145,MAL NEO CHEEK MUCOSA
146,MALIGNANT NEOPL TONSIL
147,MAL NEO SUPER NASOPHARYN
148,MAL NEO POSTCRICOID
149,MAL NEO PHARYNX NOS
150,MAL NEO CERVICAL ESOPHAG
151,MAL NEO STOMACH CARDIA
152,MALIGNANT NEOPL DUODENUM
153,MAL NEO HEPATIC FLEXURE
154,MAL NEO RECTOSIGMOID JCT
155,"MAL NEO LIVER, PRIMARY"
156,MALIG NEO GALLBLADDER
157,MAL NEO PANCREAS HEAD
158,MAL NEO RETROPERITONEUM
160,MAL NEO NASAL CAVITIES
161,MALIGNANT NEO GLOTTIS
162,MALIGNANT NEO TRACHEA
163,MAL NEO PARIETAL PLEURA
164,MALIGNANT NEOPL THYMUS
170,MAL NEO SKULL/FACE BONE
171,MAL NEO SOFT TISSUE HEAD
172,MALIG MELANOMA LIP
173,MALIG NEO SKIN LIP
174,MALIG NEO NIPPLE
175,MAL NEO MALE NIPPLE
179,MALIG NEOPL UTERUS NOS
180,MALIG NEO ENDOCERVIX
182,MALIG NEO CORPUS UTERI
183,MALIGN NEOPL OVARY
184,MALIGN NEOPL VAGINA
185,MALIGN NEOPL PROSTATE
186,MAL NEO UNDESCEND TESTIS
187,MALIGN NEOPL PREPUCE
188,MAL NEO BLADDER-TRIGONE
189,MALIG NEOPL KIDNEY
191,MALIGN NEOPL CEREBRUM
192,MAL NEO CRANIAL NERVES
193,MALIGN NEOPL THYROID
194,MALIGN NEOPL ADRENAL
195,MAL NEO HEAD/FACE/NECK
196,MAL NEO LYMPH-HEAD/NECK
197,SECONDARY MALIG NEO LUNG
198,SECOND MALIG NEO KIDNEY
199,MALIG NEO DISSEMINATED
200,RETCLSRC UNSP XTRNDL ORG
201,HDGK PRG UNSP XTRNDL ORG
202,NDLR LYM UNSP XTRNDL ORG
203,MULT MYE W/O ACHV RMSON
204,AC LYM LEUK WO ACHV RMSN
205,AC MYL LEUK WO ACHV RMSN
207,AC ERTH/ERLK WO ACH RMSN
208,AC LEU UN CL WO ACH RMSN
210,BENIGN NEOPLASM LIP
211,BENIGN NEO ESOPHAGUS
212,BEN NEO NASAL CAV/SINUS
214,LIPOMA SKIN FACE
215,BEN NEO SOFT TISSUE HEAD
216,BENIGN NEO SKIN LIP
